"Step","HalfCheetahBulletEnv-v0_TD3_2_1637231587 - eval/.timesteps","HalfCheetahBulletEnv-v0_TD3_2_1637231587 - eval/.timesteps__MIN","HalfCheetahBulletEnv-v0_TD3_2_1637231587 - eval/.timesteps__MAX"
"1","0","0","0"
"5002","5000","5000","5000"
"10003","10000","10000","10000"
"15004","15000","15000","15000"
"20005","20000","20000","20000"
"25006","25000","25000","25000"
"30007","30000","30000","30000"
"35008","35000","35000","35000"
"40009","40000","40000","40000"
"45010","45000","45000","45000"
"50011","50000","50000","50000"
"55012","55000","55000","55000"
"60013","60000","60000","60000"
"65014","65000","65000","65000"
"70015","70000","70000","70000"
"75016","75000","75000","75000"
"80017","80000","80000","80000"
"85018","85000","85000","85000"
"90019","90000","90000","90000"
"95020","95000","95000","95000"
"100021","100000","100000","100000"
"105022","105000","105000","105000"
"110023","110000","110000","110000"
"115024","115000","115000","115000"
"120025","120000","120000","120000"
"125026","125000","125000","125000"
"130027","130000","130000","130000"
"135028","135000","135000","135000"
"140029","140000","140000","140000"
"145030","145000","145000","145000"
"150031","150000","150000","150000"
"155032","155000","155000","155000"
"160033","160000","160000","160000"
"165034","165000","165000","165000"
"170035","170000","170000","170000"
"175036","175000","175000","175000"
"180037","180000","180000","180000"
"185038","185000","185000","185000"
"190039","190000","190000","190000"
"195040","195000","195000","195000"
"200041","200000","200000","200000"
"205042","205000","205000","205000"
"210043","210000","210000","210000"
"215044","215000","215000","215000"
"220045","220000","220000","220000"
"225046","225000","225000","225000"
"230047","230000","230000","230000"
"235048","235000","235000","235000"
"240049","240000","240000","240000"
"245050","245000","245000","245000"
"250051","250000","250000","250000"
"255052","255000","255000","255000"
"260053","260000","260000","260000"
"265054","265000","265000","265000"
"270055","270000","270000","270000"
"275056","275000","275000","275000"
"280057","280000","280000","280000"
"285058","285000","285000","285000"
"290059","290000","290000","290000"
"295060","295000","295000","295000"
"300061","300000","300000","300000"
"305062","305000","305000","305000"
"310063","310000","310000","310000"
"315064","315000","315000","315000"
"320065","320000","320000","320000"
"325066","325000","325000","325000"
"330067","330000","330000","330000"
"335068","335000","335000","335000"
"340069","340000","340000","340000"
"345070","345000","345000","345000"
"350071","350000","350000","350000"
"355072","355000","355000","355000"
"360073","360000","360000","360000"
"365074","365000","365000","365000"
"370075","370000","370000","370000"
"375076","375000","375000","375000"
"380077","380000","380000","380000"
"385078","385000","385000","385000"
"390079","390000","390000","390000"
"395080","395000","395000","395000"
"400081","400000","400000","400000"
"405082","405000","405000","405000"
"410083","410000","410000","410000"
"415084","415000","415000","415000"
"420085","420000","420000","420000"
"425086","425000","425000","425000"
"430087","430000","430000","430000"
"435088","435000","435000","435000"
"440089","440000","440000","440000"
"445090","445000","445000","445000"
"450091","450000","450000","450000"
"455092","455000","455000","455000"
"460093","460000","460000","460000"
"465094","465000","465000","465000"
"470095","470000","470000","470000"
"475096","475000","475000","475000"
"480097","480000","480000","480000"
"485098","485000","485000","485000"
"490099","490000","490000","490000"
"495100","495000","495000","495000"
"500101","500000","500000","500000"
"505102","505000","505000","505000"
"510103","510000","510000","510000"
"515104","515000","515000","515000"
"520105","520000","520000","520000"
"525106","525000","525000","525000"
"530107","530000","530000","530000"
"535108","535000","535000","535000"
"540109","540000","540000","540000"
"545110","545000","545000","545000"
"550111","550000","550000","550000"
"555112","555000","555000","555000"
"560113","560000","560000","560000"
"565114","565000","565000","565000"
"570115","570000","570000","570000"
"575116","575000","575000","575000"
"580117","580000","580000","580000"
"585118","585000","585000","585000"
"590119","590000","590000","590000"
"595120","595000","595000","595000"
