"Step","InvertedPendulumBulletEnv-v0_TD3_1_1637139240 - eval/.returns","InvertedPendulumBulletEnv-v0_TD3_1_1637139240 - eval/.returns__MIN","InvertedPendulumBulletEnv-v0_TD3_1_1637139240 - eval/.returns__MAX"
"1","29.2","29.2","29.2"
"5002","122.3","122.3","122.3"
"10003","100.5","100.5","100.5"
"15004","85.6","85.6","85.6"
"20005","105.8","105.8","105.8"
"25006","194.9","194.9","194.9"
"30007","927.2","927.2","927.2"
"35008","236.3","236.3","236.3"
"40009","227.8","227.8","227.8"
"45010","240.3","240.3","240.3"
"50011","339","339","339"
"55012","1000","1000","1000"
"60013","1000","1000","1000"
"65014","1000","1000","1000"
"70015","1000","1000","1000"
"75016","1000","1000","1000"
"80017","1000","1000","1000"
"85018","1000","1000","1000"
"90019","1000","1000","1000"
"95020","202.9","202.9","202.9"
"100021","200.9","200.9","200.9"
"105022","216.1","216.1","216.1"
"110023","1000","1000","1000"
"115024","1000","1000","1000"
"120025","1000","1000","1000"
"125026","1000","1000","1000"
"130027","1000","1000","1000"
"135028","1000","1000","1000"
"140029","1000","1000","1000"
"145030","1000","1000","1000"
"150031","879.7","879.7","879.7"
"155032","253.7","253.7","253.7"
"160033","355","355","355"
"165034","782.8","782.8","782.8"
"170035","1000","1000","1000"
"175036","1000","1000","1000"
"180037","967.5","967.5","967.5"
"185038","1000","1000","1000"
"190039","1000","1000","1000"
"195040","1000","1000","1000"
