"Step","InvertedPendulumBulletEnv-v0_TD3_1_1637139240 - eval/.timesteps","InvertedPendulumBulletEnv-v0_TD3_1_1637139240 - eval/.timesteps__MIN","InvertedPendulumBulletEnv-v0_TD3_1_1637139240 - eval/.timesteps__MAX"
"1","0","0","0"
"5002","5000","5000","5000"
"10003","10000","10000","10000"
"15004","15000","15000","15000"
"20005","20000","20000","20000"
"25006","25000","25000","25000"
"30007","30000","30000","30000"
"35008","35000","35000","35000"
"40009","40000","40000","40000"
"45010","45000","45000","45000"
"50011","50000","50000","50000"
"55012","55000","55000","55000"
"60013","60000","60000","60000"
"65014","65000","65000","65000"
"70015","70000","70000","70000"
"75016","75000","75000","75000"
"80017","80000","80000","80000"
"85018","85000","85000","85000"
"90019","90000","90000","90000"
"95020","95000","95000","95000"
"100021","100000","100000","100000"
"105022","105000","105000","105000"
"110023","110000","110000","110000"
"115024","115000","115000","115000"
"120025","120000","120000","120000"
"125026","125000","125000","125000"
"130027","130000","130000","130000"
"135028","135000","135000","135000"
"140029","140000","140000","140000"
"145030","145000","145000","145000"
"150031","150000","150000","150000"
"155032","155000","155000","155000"
"160033","160000","160000","160000"
"165034","165000","165000","165000"
"170035","170000","170000","170000"
"175036","175000","175000","175000"
"180037","180000","180000","180000"
"185038","185000","185000","185000"
"190039","190000","190000","190000"
"195040","195000","195000","195000"
